term,estimate,std.error,statistic,p.value,area,month,resp
snow_days,0.03915091113045329,0.00949428367287217,4.123629804986596,8.571603976447148e-5,MAL,1,T1_meanmax
tpi100,-0.024465175026388203,0.016090071914405972,-1.5205137153230326,0.1320501860401537,MAL,1,T1_meanmax
allwet_prop_100m,0.007803929637567948,0.007745459388079581,1.0075489711531318,0.31649751179598984,MAL,1,T1_meanmax
pgaps2m_metsakeskus,-0.0028698106869118833,0.005184764474607034,-0.5535083996519231,0.5813515311971822,MAL,1,T1_meanmax
canopy_portion_decid,0.010015728228848211,0.004356995789033229,2.298769315788252,0.023942846807223164,MAL,1,T1_meanmax
forest_prop_100m,0.008584321970405838,0.005761815724248574,1.4898640257234814,0.1399184684082074,MAL,1,T1_meanmax
(Intercept),-9.662679221479447,2.3930531428587676,-4.037803861696236,1.1675926898262214e-4,MAL,1,T1_meanmin
altitude,-0.006152856176405808,0.0011670823009855098,-5.271998531046355,9.900986156477793e-7,MAL,1,T1_meanmin
pisr,NA,NA,NA,NA,MAL,1,T1_meanmin
moist_med,0.021646683889202448,0.00907173377716528,2.386168335725408,0.019219278056814424,MAL,1,T1_meanmin
snow_days,0.04422960558287367,0.009964155566095513,4.438871441687575,2.6691585044361846e-5,MAL,1,T1_meanmin
tpi100,-0.024512325169033636,0.016886369224767942,-1.4516042402460552,0.15024999329613725,MAL,1,T1_meanmin
allwet_prop_100m,0.007401238840398956,0.008128782005346662,0.9104978870796181,0.365104923715469,MAL,1,T1_meanmin
pgaps2m_metsakeskus,-0.0026621774044349703,0.005441358356098228,-0.4892486820779632,0.6259111690966366,MAL,1,T1_meanmin
canopy_portion_decid,0.010218404421308573,0.004572623416213644,2.234691880611921,0.02802988039664517,MAL,1,T1_meanmin
forest_prop_100m,0.0085832028625048,0.006046967859579464,1.419422603496642,0.1593904072967358,MAL,1,T1_meanmin
(Intercept),-10.754056037821176,2.620456657157169,-4.1038862476312925,9.206313482571466e-5,MAL,1,T2_mean
altitude,-0.00659967647616209,0.0012779860715564054,-5.164122382120035,1.5403526216593375e-6,MAL,1,T2_mean
pisr,NA,NA,NA,NA,MAL,1,T2_mean
moist_med,0.029164002774913947,0.00993378907579625,2.935838737101058,0.004266304533020258,MAL,1,T2_mean
snow_days,0.04760765283660014,0.01091101460243068,4.363265431428754,3.5464537044177376e-5,MAL,1,T2_mean
tpi100,-0.0223650406359152,0.01849102214144545,-1.2095080772082685,0.2297821464561615,MAL,1,T2_mean
allwet_prop_100m,0.004988832814847035,0.008901231877802557,0.5604654370692145,0.5766192113588704,MAL,1,T2_mean
pgaps2m_metsakeskus,-0.002301626793856749,0.005958431709202085,-0.3862806366148599,0.7002428706596886,MAL,1,T2_mean
canopy_portion_decid,0.009465087240390498,0.005007143910467252,1.8903165975725358,0.062083610489919,MAL,1,T2_mean
forest_prop_100m,0.008755655689714809,0.006621590176773448,1.3222889753018878,0.1895779292667383,MAL,1,T2_mean
(Intercept),-2.3061097707670375,1.943977465162588,-1.1862842096135933,0.23877707599925763,MAL,1,T2_absmax
altitude,-0.00416396186391759,9.480699164062943e-4,-4.392040915823268,3.1838934180799166e-5,MAL,1,T2_absmax
pisr,NA,NA,NA,NA,MAL,1,T2_absmax
moist_med,0.018649279774638528,0.007369349939172823,2.5306546613434167,0.013205413539875569,MAL,1,T2_absmax
snow_days,0.010088752478289742,0.008094301598636593,1.2464018489240745,0.21600128996346074,MAL,1,T2_absmax
tpi100,-0.020210858308741527,0.013717506165428802,-1.47336243665612,0.14430419316600065,MAL,1,T2_absmax
