term,estimate,std.error,statistic,p.value,area,month,resp
altitude,-0.008025149420698473,0.0012565897349987802,-6.386451518089365,7.52693302809746e-9,MAL,1,T1_absmin
snow_days,0.057284268622981235,0.011319134274221408,5.06083479842115,2.22977731189618e-6,MAL,1,T1_absmin
tpi100,-0.04266947569751569,0.020528048483283674,-2.0785938679101497,0.040533446578009495,MAL,1,T1_absmin
canopy_cover2m_10m,0.007332094888859418,0.0037621242126503465,1.9489241913397894,0.05445407379326246,MAL,1,T1_absmin
moist_med,0.029710303785528996,0.010809348897447155,2.7485747816453294,0.007246834399210002,MAL,1,T1_absmin
(Intercept),-6.687380013871241,1.941504585183253,-3.4444317386147394,8.747469906438544e-4,MAL,1,T1_meanmax
altitude,-0.006300189631811047,9.951849572757715e-4,-6.330672088389725,9.660270448979146e-9,MAL,1,T1_meanmax
snow_days,0.03599054974980247,0.008964447062828097,4.014809781078477,1.238888627021554e-4,MAL,1,T1_meanmax
tpi100,-0.03008561179696606,0.01625765712053303,-1.8505502714144868,0.06755180254955238,MAL,1,T1_meanmax
canopy_cover2m_10m,0.005101146827733684,0.002979500245429122,1.7120813584625136,0.09036415442676782,MAL,1,T1_meanmax
moist_med,0.02219781655537829,0.008560710883648352,2.5929875283813066,0.011122548065486494,MAL,1,T1_meanmax
(Intercept),-7.835376252207479,2.031748415966901,-3.8564697236289738,2.171197980829258e-4,MAL,1,T1_meanmin
altitude,-0.00663635355141696,0.0010414425368705936,-6.3722704964196915,8.020464620313613e-9,MAL,1,T1_meanmin
snow_days,0.0412617418026619,0.00938112701814763,4.398377905217759,3.0138972091630883e-5,MAL,1,T1_meanmin
tpi100,-0.030193936010071153,0.017013335613038607,-1.774721706361406,0.07936306606837588,MAL,1,T1_meanmin
canopy_cover2m_10m,0.005425512112301686,0.003117991556765872,1.7400663258784712,0.08530402475244027,MAL,1,T1_meanmin
moist_med,0.023096003184249803,0.008958624620379895,2.5780746669202896,0.011578463339883592,MAL,1,T1_meanmin
(Intercept),-9.327455766243396,2.2037987672097445,-4.232444406915155,5.606344439187843e-5,MAL,1,T2_mean
altitude,-0.006991712192781305,0.001129632862434378,-6.189366851203361,1.8116526454919638e-8,MAL,1,T2_mean
snow_days,0.04579109773425805,0.010175529605516168,4.500119355894227,2.046386936970651e-5,MAL,1,T2_mean
tpi100,-0.02738551471534046,0.018454040744162164,-1.4839847323954631,0.1413459798593894,MAL,1,T2_mean
canopy_cover2m_10m,0.006051834113843809,0.0033820259905067715,1.789410882953323,0.0769502545210244,MAL,1,T2_mean
moist_med,0.03024591702864677,0.009717249310561152,3.112600702317488,0.0024936005097804877,MAL,1,T2_mean
(Intercept),-18.444244787487165,3.140847959438196,-5.872377468021817,7.286306891973752e-8,MAL,1,T2_absmin
altitude,-0.009923608189780322,0.0016099496576919838,-6.163924531656946,2.027757730086755e-8,MAL,1,T2_absmin
snow_days,0.08660791476634565,0.01450213688891072,5.972079523850841,4.7171698986160574e-8,MAL,1,T2_absmin
tpi100,-0.04146574465312932,0.02630064826112803,-1.576605422095815,0.1184343997203477,MAL,1,T2_absmin
